correct,count
,7500
c,6895
b,6523
d,6267
a,6228
e,4934
C,222
D,220
B,210
4,185
6,185
5,173
10,169
A,165
3,153
2,148
E,148
20,143
8,132
12,131
30,122
15,119
9,112
7,94
40,92
60,90
50,88
18,87
14,86
25,79
16,79
24,77
21,74
11,70
36,69
100,66
80,66
45,61
22,60
32,55
90,52
35,52
1,52
200,52
150,50
28,48
13,48
17,46
120,46
48,45
27,44
70,41
26,40
180,40
72,40
300,40
75,38
160,37
42,36
54,36
19,34
33,32
96,32
240,32
55,28
600,28
140,26
23,26
400,25
34,25
44,25
64,25
110,25
250,24
56,23
39,23
84,23
52,22
65,22
480,20
66,20
135,20
130,20
46,19
360,19
49,19
38,19
1000,18
1500,18
220,18
2000,18
210,17
88,17
450,17
1200,17
41,17
29,16
51,16
78,16
800,16
85,16
108,16
31,15
900,15
320,15
500,14
95,14
63,14
350,13
105,13
58,13
270,13
125,13
53,12
112,12
99,12
62,12
280,11
700,11
43,11
37,11
76,10
1800,10
168,10
1600,10
3000,10
57,10
1400,10
750,9
68,9
260,9
61,9
77,9
97,9
83,9
67,9
375,9
2400,8
81,8
121,8
92,8
144,8
59,8
216,8
225,8
195,8
136,8
115,8
4000,8
720,8
114,8
840,7
2100,7
47,7
175,7
126,7
132,7
86,7
255,7
230,7
640,7
79,7
660,7
540,7
310,7
69,7
245,7
420,7
190,7
330,6
960,6
650,6
2800,6
91,6
94,6
0,6
1050,6
71,6
145,6
3600,6
82,6
170,6
12000,6
196,6
1900,6
74,6
148,5
113,5
7200,5
6000,5
1920,5
2500,5
4500,5
117,5
128,5
315,5
570,5
680,5
4800,5
116,5
390,5
520,5
370,5
525,5
8000,5
14400,5
2600,5
294,4
288,4
124,4
16000,4
93,4
290,4
205,4
340,4
165,4
325,4
156,4
770,4
780,4
630,4
5000,4
258,4
192,4
102,4
1260,4
104,4
1300,4
204,4
142,4
1250,4
1350,4
134,4
625,4
198,4
920,4
20000,4
224,3
1700,3
22000,3
1440,3
162,3
264,3
3200,3
10000,3
730,3
\(\frac{1}{2}\),3
171,3
146,3
.75,3
143,3
1825,3
248,3
345,3
275,3
14000,3
256,3
810,3
"1,200",3
3450,3
768,3
2200,3
184,3
119,3
307,3
73,3
155,3
98,3
297,3
504,3
179,3
232,3
10800,3
2700,3
550,3
118,3
2340,3
675,3
355,3
89,3
2240,3
1100,3
36000,3
432,3
3500,3
1140,3
760,3
123,3
384,2
100000,2
138,2
1450,2
154,2
565,2
24000,2
1980,2
18300,2
220000,2
153,2
"40,000",2
250000,2
405,2
670,2
285,2
460,2
2040,2
1530,2
349,2
299,2
6600,2
13600,2
201,2
208,2
48000,2
252,2
185,2
56000,2
42000,2
122,2
338,2
775,2
1890,2
16800,2
850,2
476,2
106,2
1640,2
236,2
159,2
363,2
4680,2
477,2
1360,2
129,2
396,2
90000,2
740,2
144000,2
322,2
1152,2
468,2
163,2
1040,2
21600,2
1320,2
106000,2
344,2
2900,2
825,2
157,2
99000,2
273,2
265,2
2160,2
237,2
188,2
605,2
580,2
9500,2
186,2
1080,2
18000,2
410,2
1020,2
828,2
